国家,新增确诊,累计确诊,累计治愈,累计死亡,死亡率（%）,感染占比,人口（万人）
安哥拉,68,15319,8139,351,2.29,49,3077
纳米比亚,61,14477,13697,151,1.04,561,258
爱沙尼亚,450,13469,8182,123,0.91,1036,130
几内亚,24,13167,12204,76,0.58,100,1305
马尔代夫,21,13070,12001,47,0.36,2970,44
刚果（金）,128,12987,11694,336,2.59,-,-
塔吉克斯坦,38,12269,11677,87,0.71,134,910
塞浦路斯,292,11175,2057,52,0.47,947,118
佛得角,51,10867,10422,106,0.98,1975,55
牙买加,0,10864,6500,258,2.37,375,289
博茨瓦纳,0,10742,7912,34,0.32,461,233
津巴布韦,0,10129,8643,277,2.73,59,1691
马耳他,0,10101,7887,146,1.45,2349,43
海地,17,9313,8091,233,2.50,83,1111
加蓬,25,9239,9089,60,0.65,448,206
毛里塔尼亚,153,8863,7780,179,2.02,-,-
古巴,75,8456,7714,136,1.61,73,1148
叙利亚,86,8059,3689,426,5.29,44,1828
巴哈马,0,7543,5934,163,2.16,1934,39
安道尔,52,6842,5988,76,1.11,9774,7
特立尼达和多巴哥,19,6704,5843,121,1.80,489,137
斯威士兰,13,6455,6032,122,1.89,464,139
乌拉圭,201,6225,4584,80,1.29,179,346
马拉维,12,6040,5471,185,3.06,31,1916
卢旺达,46,5994,5575,50,0.83,47,1250
伯利兹,0,5854,3151,148,2.53,1540,38
尼加拉瓜,0,5838,4225,161,2.76,92,628
刚果（布）,0,5774,4988,94,1.63,-,-
吉布提,2,5682,5587,61,1.07,585,97
圭亚那,26,5449,4530,151,2.77,698,78
冰岛,35,5448,5216,27,0.50,1650,33
苏里南,1,5320,5200,117,2.20,950,56
赤道几内亚,0,5156,5009,85,1.65,393,131
中非共和国,0,4918,1924,63,1.28,103,473
马里,75,4837,3263,161,3.33,25,1910
索马里,0,4525,3480,121,2.67,29,1518
泰国,13,4039,3832,60,1.49,5.8,6918
冈比亚,22,3765,3609,123,3.27,174,216
贝宁,40,3055,2839,44,1.44,26,1148
多哥,17,3014,2543,65,2.16,37,799
布基纳法索,79,3010,2667,68,2.26,15,1975
几内亚比绍,0,2441,2327,44,1.80,128,190
塞拉利昂,3,2416,1838,74,3.06,31,771
也门,20,2217,1518,621,28.01,7.7,2891
莱索托,5,2142,1278,44,2.05,94,226
新西兰,9,2069,1974,25,1.21,43,474
乍得,5,1705,1539,102,5.98,11,1535
圣马力诺,37,1687,1340,46,2.73,5623,3
尼日尔,54,1640,1227,76,4.63,7.4,2231
利比里亚,0,1595,1343,83,5.20,32,485
越南,0,1358,1201,35,2.58,1.4,9649
列支敦士登公国,0,1318,1149,16,1.21,-,-
蒙古,7,819,365,0,-,26,312
钻石号邮轮,0,712,659,13,1.83,-,0.37
布隆迪,0,689,575,1,0.15,6.1,1121
巴布亚新几内亚,0,669,597,7,1.05,8.0,841
摩纳哥,4,621,563,3,0.48,2070,3
科摩罗,0,613,586,7,1.14,73,83
厄立特里亚,0,577,498,0,-,11,518
坦桑尼亚,0,509,183,21,4.13,0.86,5909
毛里求斯,3,508,465,10,1.97,40,126
不丹,1,415,386,0,-,51,81
柬埔寨,2,331,304,0,-,2.0,1624
巴巴多斯,1,279,255,7,2.51,99,28
圣卢西亚,2,261,141,2,0.77,-,-
塞舌尔,0,183,162,0,-,203,9
文莱,0,151,145,3,1.99,35,43
安提瓜和巴布达,2,144,133,4,2.78,144,10
圣文森特和格林纳丁斯,0,85,80,0,-,77,11
多米尼克,0,85,63,0,-,121,7
斐济,0,42,33,2,4.76,4.6,91
格林纳达,0,41,30,0,-,41,10
老挝,0,39,26,0,-,0.56,696
马提尼克岛,0,37,0,1,2.70,-,-
东帝汶,1,31,30,0,-,2.3,132
梵蒂冈,0,27,15,0,-,-,-
圣基茨和尼维斯,0,22,19,0,-,44,5
所罗门群岛,0,17,5,0,-,2.7,62
马绍尔群岛,0,4,1,0,-,8.0,5
瓦努阿图,0,1,0,0,-,0.36,28
